id,name,description,uri,code,alt_names,collection,vocabulary
role_aus,Screenwriter,"An author of a screenplay, script, or scene",http://id.loc.gov/vocabulary/relators/aus,aus,"Author of screenplay, etc.",Creator,MARC Code List for Relators Scheme
role_anm,Animator,"A person contributing to a moving image work or computer program by giving apparent movement to inanimate objects or drawings. For the creator of the drawings that are animated, see artist",http://id.loc.gov/vocabulary/relators/anm,anm,"",Contributor,MARC Code List for Relators Scheme
role_cov,Cover designer,"A person or organization responsible for the graphic design of a book cover, album cover, slipcase, box, container, etc. For a person or organization responsible for the graphic design of an entire book, use Book designer; for book jackets, use Bookjacket designer",http://id.loc.gov/vocabulary/relators/cov,cov,Designer of cover,"",MARC Code List for Relators Scheme
role_vdg,Videographer,"A person in charge of a video production, e.g. the video recording of a stage production as opposed to a commercial motion picture. The videographer may be the camera operator or may supervise one or more camera operators. Do not confuse with cinematographer",http://id.loc.gov/vocabulary/relators/vdg,vdg,"","",MARC Code List for Relators Scheme
role_jug,Jurisdiction governed,"A jurisdiction governed by a law, regulation, etc., that was enacted by another jurisdiction",http://id.loc.gov/vocabulary/relators/jug,jug,"",Other,MARC Code List for Relators Scheme
role_prf,Performer,"A person contributing to a resource by performing music, acting, dancing, speaking, etc., often in a musical or dramatic presentation, etc. If specific codes are used, [prf] is used for a person whose principal skill is not known or specified",http://id.loc.gov/vocabulary/relators/prf,prf,"",Contributor,MARC Code List for Relators Scheme
role_ltg,Lithographer,"A person or organization who prepares the stone or plate for lithographic printing, including a graphic artist creating a design directly on the surface from which printing will be done.",http://id.loc.gov/vocabulary/relators/ltg,ltg,"","",MARC Code List for Relators Scheme
role_pup,Publication place,The place where a resource is published,http://id.loc.gov/vocabulary/relators/pup,pup,"","",MARC Code List for Relators Scheme
role_gis,Geographic information specialist,A person responsible for geographic information system (GIS) development and integration with global positioning system data,http://id.loc.gov/vocabulary/relators/gis,gis,Geospatial information specialist,"",MARC Code List for Relators Scheme
role_ant,Bibliographic antecedent,"A person or organization responsible for a resource upon which the resource represented by the bibliographic description is based. This may be appropriate for adaptations, sequels, continuations, indexes, etc.",http://id.loc.gov/vocabulary/relators/ant,ant,"","",MARC Code List for Relators Scheme
role_hst,Host,"A performer contributing to a resource by leading a program (often broadcast) that includes other guests, performers, etc. (e.g., talk show host)",http://id.loc.gov/vocabulary/relators/hst,hst,"",Contributor,MARC Code List for Relators Scheme
role_rpy,Responsible party,A person or organization legally responsible for the content of the published material,http://id.loc.gov/vocabulary/relators/rpy,rpy,"","",MARC Code List for Relators Scheme
role_lbt,Librettist,"An author of a libretto of an opera or other stage work, or an oratorio",http://id.loc.gov/vocabulary/relators/lbt,lbt,"",Creator,MARC Code List for Relators Scheme
role_bjd,Bookjacket designer,"A person or organization responsible for the design of flexible covers designed for or published with a book, including the type of materials used, and any decorative aspects of the bookjacket",http://id.loc.gov/vocabulary/relators/bjd,bjd,Designer of bookjacket,"",MARC Code List for Relators Scheme
role_wde,Wood engraver,A person or organization who makes prints by cutting the image in relief on the end-grain of a wood block,http://id.loc.gov/vocabulary/relators/wde,wde,"","",MARC Code List for Relators Scheme
role_fnd,Funder,A person or organization that furnished financial support for the production of the work,http://id.loc.gov/vocabulary/relators/fnd,fnd,"","",MARC Code List for Relators Scheme
role_crt,Court reporter,"A person, family, or organization contributing to a resource by preparing a court's opinions for publication",http://id.loc.gov/vocabulary/relators/crt,crt,"",Contributor,MARC Code List for Relators Scheme
role_cur,Curator,"A person, family, or organization conceiving, aggregating, and/or organizing an exhibition, collection, or other item",http://id.loc.gov/vocabulary/relators/cur,cur,Curator of an exhibition,Other,MARC Code List for Relators Scheme
